"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"557","Y64",1,0,0,"SLL"
"558","Y65",2,0,0,"SLL"
"559","Y66",1,0,0,"SLL"
"560","Y67",7,4,0.571428571428571,"SLL"
"561","Y68",1,1,1,"SLL"
"562","Y69",2,0,0,"SLL"
"563","Y7",2,1,0.5,"SLL"
"564","Y70",1,0,0,"SLL"
"565","Y71",1,0,0,"SLL"
"566","Y72",1,0,0,"SLL"
"567","Y73",4,1,0.25,"SLL"
"568","Y74",1,0,0,"SLL"
"569","Y78",1,1,1,"SLL"
"570","Y79",1,0,0,"SLL"
"571","Y8",1,1,1,"SLL"
"572","Y80",1,0,0,"SLL"
"573","Y81",2,1,0.5,"SLL"
"574","Y83",3,0,0,"SLL"
"575","Y84",1,0,0,"SLL"
"576","Y85",2,0,0,"SLL"
"577","Y86",5,1,0.2,"SLL"
"578","Y87",1,1,1,"SLL"
"579","Y88",1,1,1,"SLL"
"580","Y89",2,0,0,"SLL"
"581","Y9",2,1,0.5,"SLL"
"582","Y90",1,0,0,"SLL"
"583","Y91",1,0,0,"SLL"
"584","Y92",1,0,0,"SLL"
"585","Y94",4,3,0.75,"SLL"
"586","Y95",1,0,0,"SLL"
"587","Y96",1,0,0,"SLL"
"588","Y97",1,0,0,"SLL"
"589","Y98",1,1,1,"SLL"
"590","Y99",1,0,0,"SLL"
